,Rank,POS,AVG,Sleeper,Player,Team,Bye,player_id,predicted_fantasy_points,position_group,replacement_value,vor,rank
71,80,TE8,84.2,,Vance McDonald,,,00-0030470,87.35153333683809,TE,16.59899981290102,70.75253352393707,132.0
233,266,TE29,426.8,,Gerald Everett,LAC,12,00-0033895,87.31700018525123,TE,16.59899981290102,70.71800037235022,133.0
348,467,WR155,618.0,,Tajae Sharpe,,,00-0032778,87.24499965310098,WR,16.998800196647643,70.24619945645333,134.0
249,288,WR98,466.8,,John Ross,KC,12,00-0033460,87.13300032354891,WR,16.998800196647643,70.13420012690128,135.0
540,1036,WR374,944.0,,Allen Hurns,,,00-0030821,87.07539999008179,WR,16.998800196647643,70.07659979343416,136.0
216,247,WR79,401.4,,Taylor Gabriel,,,00-0031228,86.86920055285097,WR,16.998800196647643,69.87040035620333,137.0
53,56,TE5,57.5,,O.J. Howard,LV,,00-0033879,85.64160097122193,TE,16.59899981290102,69.0426011583209,138.0
131,150,RB51,149.2,,Ronald Jones,DAL,8,00-0034816,156.35100079596043,RB,88.13559999167919,68.21540080428124,139.0
195,222,DST20,243.4,,San Francisco 49ers,DST,4,00-000003,161.90960012495518,DST,94.49366665760677,67.41593346734841,140.0
280,328,TE38,319.0,,Blake Jarwin,,,00-0033658,83.63599959492683,TE,16.59899981290102,67.03699978202582,141.0
97,111,WR44,115.0,,Marquez Valdes-Scantling,KC,12,00-0034272,83.89431315992559,WR,16.998800196647643,66.89551296327795,142.0
47,49,RB24,48.0,,Sony Michel,LAR,9,00-0034845,154.87199982970952,RB,88.13559999167919,66.73639983803034,143.0
78,90,RB34,93.2,,Latavius Murray,BUF,6,00-0030513,152.26199976652862,RB,88.13559999167919,64.12639977484943,144.0
403,582,TE86,437.0,,Nick Boyle,,,00-0031598,80.32400012217462,TE,16.59899981290102,63.725000309273604,145.0
19,20,QB1,18.8,,Patrick Mahomes,KC,12,00-0033873,284.0576035690308,QB,222.3416029421985,61.71600062683228,146.0
67,74,RB32,77.2,,Duke Johnson,Jr.,,00-0032257,149.4464006190002,RB,88.13559999167919,61.310800627321015,147.0
5,6,RB5,6.7,,David Johnson,,,00-0032187,148.4126009683311,RB,88.13559999167919,60.27700097665192,148.0
351,470,K46,359.0,,Kai Forbath,LAR,9,00-0028787,59.82400001704693,K,0.0,59.82400001704693,149.0
65,72,WR30,74.5,,Josh Gordon,,,00-0029664,76.38499903380871,WR,16.998800196647643,59.38619883716107,150.0
8,9,RB7,10.3,,James Conner,ARI,12,00-0033553,146.82459982156755,RB,88.13559999167919,58.68899982988836,151.0
285,333,TE40,550.0,,Will Dissly,SEA,11,00-0034159,73.73640148356557,TE,16.59899981290102,57.13740167066455,152.0
133,152,RB52,155.7,,Carlos Hyde,,,00-0031045,145.12159942805766,RB,88.13559999167919,56.98599943637848,153.0
174,198,DST16,195.8,,Kansas City Chiefs,DST,12,00-000005,151.24986660383144,DST,94.49366665760677,56.75619994622467,154.0
145,165,QB21,171.5,,Josh Allen,BUF,6,00-0034857,278.3886025103927,QB,222.3416029421985,56.04699956819417,155.0
321,413,TE55,656.5,,Hayden Hurst,CAR,7,00-0034830,72.63739919446408,TE,16.59899981290102,56.03839938156306,156.0
289,338,TE41,540.0,,C.J. Uzomah,NYJ,4,00-0032134,72.37400028944016,TE,16.59899981290102,55.77500047653914,157.0
69,78,QB7,81.0,,Carson Wentz,,,00-0032950,277.6516017961502,QB,222.3416029421985,55.3099988539517,158.0
111,127,DST5,132.2,,Baltimore Ravens,DST,8,00-000004,148.63519991165398,DST,94.49366665760677,54.14153325404722,159.0
173,197,WR66,328.8,,Tre'Quan Smith,NO,9,00-0034765,71.0434010951221,WR,16.998800196647643,54.044600898474464,160.0
510,859,WR277,748.0,,Damiere Byrd,CAR,7,00-0031868,70.27819983974099,WR,16.998800196647643,53.27939964309335,161.0
537,1032,WR373,932.0,,Cody Latimer,,,00-0031344,69.86833324794968,WR,16.998800196647643,52.869533051302035,162.0
88,102,DST2,107.0,,Los Angeles Rams,DST,9,00-000006,146.98166664967934,DST,94.49366665760677,52.487999992072574,163.0
60,67,RB28,68.7,,Tevin Coleman,,,00-0032058,140.4661990721524,RB,88.13559999167919,52.330599080473206,164.0
206,235,RB65,367.6,,Jamaal Williams,NO,9,00-0033948,139.5936681739489,RB,88.13559999167919,51.45806818226973,165.0
309,386,WR126,553.0,,Josh Reynolds,DET,5,00-0033943,68.33820078112186,WR,16.998800196647643,51.33940058447421,166.0
200,228,K17,248.4,,Matt Bryant,,,00-0020578,51.139999982714656,K,0.0,51.139999982714656,167.0
352,471,WR157,468.5,,Isaiah McKenzie,IND,6,00-0033466,67.5959992301464,WR,16.998800196647643,50.59719903349876,168.0
33,34,RB17,34.3,,Damien Williams,,,00-0030874,138.72329960025849,RB,88.13559999167919,50.5876996085793,169.0
92,106,RB41,109.5,,Royce Freeman,,,00-0034838,136.62400039166212,RB,88.13559999167919,48.488400399982936,170.0
109,125,DST4,130.8,,Minnesota Vikings,DST,12,00-000007,142.91253326441844,DST,94.49366665760677,48.418866606811676,171.0
58,64,QB5,67.3,,Matt Ryan,,,00-0026143,270.24120005130766,QB,222.3416029421985,47.89959710910915,172.0
190,216,WR72,230.6,,DaeSean Hamilton,,,00-0034370,64.4406665041546,WR,16.998800196647643,47.44186630750696,173.0
163,187,DST15,162.8,,New Orleans Saints,DST,9,00-000008,141.87986664346855,DST,94.49366665760677,47.38619998586178,174.0
49,51,QB3,50.5,,Aaron Rodgers,NYJ,4,00-0023459,268.870199380666,QB,222.3416029421985,46.5285964384675,175.0
247,285,WR95,463.3,,David Moore,TB,7,00-0033589,63.23820014283061,WR,16.998800196647643,46.239399946182964,176.0
345,464,WR152,521.0,,Seth Roberts,,,00-0031166,62.98500044517219,WR,16.998800196647643,45.98620024852455,177.0
302,367,TE45,352.5,,Josh Hill,,,00-0030216,61.69900009453296,TE,16.59899981290102,45.10000028163194,178.0
98,112,QB13,116.3,,Tom Brady,,,00-0019596,266.8593992237747,QB,222.3416029421985,44.51779628157618,179.0
344,463,WR151,659.5,,Jarius Wright,,,00-0029572,60.417000097110865,WR,16.998800196647643,43.41819990046322,180.0
291,341,TE42,335.0,,Ricky Seals-Jones,,,00-0033611,59.528000602722166,TE,16.59899981290102,42.929000789821146,181.0
306,378,WR124,358.0,,Tavon Austin,,,00-0030525,59.59399945676327,WR,16.998800196647643,42.59519926011563,182.0
266,307,DST31,265.0,,Tampa Bay Buccaneers,DST,7,00-000010,137.02533335064848,DST,94.49366665760677,42.531666693041714,183.0
430,648,WR204,516.0,,Marcus Johnson,,,00-0032980,55.99599994599819,WR,16.998800196647643,38.99719974935055,184.0
157,179,DST13,196.7,,Buffalo Bills,DST,6,00-000009,133.32379995703698,DST,94.49366665760677,38.830133299430216,185.0
381,537,RB141,702.5,,DeAndre Washington,,,00-0032940,125.79600214615465,RB,88.13559999167919,37.66040215447546,186.0
368,505,TE71,383.0,,Jeremy Sprinkle,,,00-0033528,53.80500020384788,TE,16.59899981290102,37.20600039094686,187.0
